cod_mun;2010;name
310620;1356769;Belo Horizonte
310670;114800;Betim
311787;4479;Confins
311860;191989;Contagem
313760;13013;Lagoa Santa
314480;32257;Nova Lima
314930;15503;Pedro Leopoldo
315460;27845;Ribeirao das Neves
315670;14367;Sabara
315780;29513;Santa Luzia
317120;15096;Vespasiano
